year,age
1996,23
1977,42
1999,20
2015,4
2017,2
1996,23
2007,12
2014,5
2014,5
1988,31
2007,12
2014,5
1984,35
1995,24
2016,3
2016,3
2014,5
1974,45
2001,18
1994,25
1985,34
2016,3
2005,14
2018,1
1970,49
2000,19
2016,3
1983,36
1973,46
2018,1
2018,1
2018,1
2018,1
2016,3
2004,15
2018,1
1991,28
2018,1
1977,42
2018,1
2018,1
2015,4
2016,3
2014,5
2016,3
1981,38
2002,17
2017,2
1997,22
2010,9
2006,13
2018,1
1996,23
1990,29
2001,18
2002,17
1988,31
2017,2
2006,13
1988,31
2011,8
1978,41
1981,38
2018,1
2018,1
1998,21
1980,39
1980,39
2008,11
1980,39
2015,4
2016,3
2017,2
1991,28
1993,26
1999,20
2016,3
2018,1
2007,12
1995,24
2003,16
1996,23
1999,20
2017,2
2017,2
2013,6
2018,1
2007,12
1995,24
1999,20
1991,28
1998,21
2006,13
1995,24
2005,14
2014,5
1988,31
2015,4
2015,4
1996,23
2016,3
2017,2
2013,6
2017,2
1992,27
2012,7
2018,1
1996,23
1996,23
1999,20
2016,3
1968,51
2011,8
2005,14
2018,1
2016,3
2018,1
2017,2
1977,42
2015,4
2016,3
2016,3
1999,20
2001,18
1987,32
1989,30
2013,6
2018,1
2001,18
2018,1
2018,1
2018,1
2017,2
2018,1
1974,45
2013,6
1991,28
2018,1
1981,38
2012,7
2018,1
2018,1
1968,51
1979,40
1996,23
2018,1
1983,36
2010,9
2018,1
2017,2
2016,3
2017,2
2011,8
2006,13
2018,1
1993,26
2018,1
2006,13
2013,6
2017,2
1981,38
2018,1
2018,1
2018,1
1983,36
2018,1
1995,24
1974,45
2002,17
1976,43
2014,5
2013,6
2015,4
1979,40
1987,32
2015,4
2013,6
2004,15
1992,27
2008,11
1963,56
2006,13
2007,12
2016,3
2012,7
2013,6
1978,41
1972,47
2006,13
2003,16
1977,42
1979,40
1997,22
1982,37
1986,33
1976,43
1982,37
2007,12
1980,39
1981,38
2005,14
1983,36
1976,43
2014,5
1994,25
1978,41
1998,21
2014,5
1995,24
2001,18
2015,4
1963,56
2006,13
1983,36
2011,8
2001,18
2003,16
2015,4
2016,3
2016,3
2013,6
1980,39
2014,5
2015,4
2016,3
1994,25
1996,23
1990,29
2016,3
2016,3
1989,30
1968,51
2014,5
1983,36
2016,3
2016,3
2016,3
2006,13
2008,11
2015,4
2014,5
1986,33
1963,56
1978,41
2007,12
1999,20
2015,4
1990,29
2000,19
1993,26
1997,22
2016,3
2016,3
2016,3
2016,3
2016,3
2016,3
2014,5
1987,32
2016,3
1995,24
1984,35
2011,8
2016,3
1974,45
1995,24
1997,22
1992,27
2018,1
2018,1
2018,1
2019,0
2019,0
2019,0
1979,40
2019,0
2016,3
2016,3
2013,6
2013,6
2016,3
2013,6
2016,3
2016,3
2003,16
2003,16
1991,28
2018,1
2011,8
2017,2
1982,37
2013,6
2018,1
1992,27
1989,30
1976,43
2018,1
1973,46
1997,22
1969,50
2018,1
2001,18
2018,1
2019,0
2018,1
2013,6
2019,0
1993,26
2016,3
2017,2
2017,2
1988,31
2014,5
1989,30
1993,26
2013,6
2018,1
1995,24
1996,23
2017,2
1983,36
2019,0
2007,12
2018,1
2010,9
2018,1
2019,0
2016,3
2006,13
1981,38
2019,0
2009,10
2011,8
2016,3
2018,1
1999,20
1969,50
2016,3
2019,0
2016,3
1986,33
2019,0
1995,24
1982,37
2018,1
2006,13
2019,0
1988,31
2007,12
2001,18
2018,1
2018,1
2000,19
2013,6
1983,36
1973,46
1971,48
2018,1
1973,46
1968,51
2005,14
2018,1
2016,3
2019,0
2016,3
1997,22
